                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.97998,                  1.833,                 1.1823,                 1.0793,                0.37222,                0.62127,                0.37123,                0.25286,                0.36615,                0.60875,                  0.359,                0.21293,                 1.0218,                 2.0769,                 1.7018,                 1.2154,              0.0005446,              0.0005446,              0.0005446
                     25,                0.96998,                  1.788,                 1.1704,                 1.0715,                0.32836,                0.63967,                0.35789,                0.24429,                0.32262,                0.62325,                0.34593,                0.20407,                 1.0335,                 2.1048,                 1.7166,                 1.2409,              0.0005248,              0.0005248,              0.0005248
                     26,                0.96027,                 1.7769,                 1.1477,                 1.0717,                0.32807,                0.59533,                0.34828,                0.22947,                0.31935,                 0.5645,                0.33067,                0.19192,                 1.0679,                 2.1575,                 1.7287,                 1.2465,               0.000505,               0.000505,               0.000505
                     27,                0.95847,                 1.7806,                 1.1416,                 1.0657,                0.33416,                0.59356,                0.32774,                0.22347,                0.32591,                0.57997,                0.31437,                0.18446,                 1.0254,                 2.1122,                 1.6918,                 1.2341,              0.0004852,              0.0004852,              0.0004852
                     28,                0.95208,                 1.7831,                 1.1226,                 1.0661,                0.35654,                0.61334,                0.37822,                0.25829,                 0.3522,                0.57701,                0.36064,                0.21068,                 1.0203,                 2.0651,                 1.6681,                 1.2328,              0.0004654,              0.0004654,              0.0004654
                     29,                0.94258,                 1.7738,                 1.1026,                 1.0607,                0.36442,                0.61188,                0.36176,                0.24781,                0.36122,                0.59338,                0.34953,                0.20765,                 1.0179,                 2.1256,                 1.6644,                  1.216,              0.0004456,              0.0004456,              0.0004456
                     30,                0.93969,                 1.7453,                 1.0994,                 1.0567,                0.39309,                0.64745,                0.39516,                0.27557,                0.38802,                0.63415,                0.38359,                0.22912,                 0.9803,                   2.03,                 1.5913,                 1.1965,              0.0004258,              0.0004258,              0.0004258
                     31,                0.93603,                 1.7267,                 1.0717,                   1.05,                0.38272,                0.62581,                0.37373,                0.25748,                0.37851,                0.60763,                0.35952,                0.21302,                 1.0209,                 2.0505,                 1.7364,                 1.2175,               0.000406,               0.000406,               0.000406
                     32,                0.93103,                 1.7135,                   1.08,                 1.0584,                0.34531,                0.61891,                0.36812,                0.24968,                0.33788,                0.59453,                0.34981,                0.20329,                0.99912,                 2.1101,                  1.662,                 1.2158,              0.0003862,              0.0003862,              0.0003862
                     33,                0.91936,                 1.7115,                 1.0509,                   1.05,                0.37057,                0.63679,                0.38092,                0.26493,                0.36453,                0.62085,                0.36927,                0.21995,                0.97967,                  2.009,                 1.6479,                 1.1869,              0.0003664,              0.0003664,              0.0003664
                     34,                0.91448,                 1.6929,                 1.0355,                 1.0435,                0.38966,                0.62851,                0.37164,                0.25891,                0.38403,                0.61543,                0.36079,                0.21569,                0.98735,                 2.0554,                 1.6381,                 1.2039,              0.0003466,              0.0003466,              0.0003466
                     35,                0.90892,                 1.6863,                 1.0305,                 1.0398,                0.38764,                0.60138,                0.37138,                0.25622,                0.38146,                0.58754,                0.35937,                0.21072,                 1.0104,                 2.0653,                 1.5801,                    1.2,              0.0003268,              0.0003268,              0.0003268
                     36,                0.90079,                 1.6639,                 1.0247,                 1.0352,                0.37435,                0.60077,                0.36523,                 0.2524,                0.37044,                0.58601,                0.35401,                0.21033,                0.98583,                 2.0345,                 1.6612,                  1.208,               0.000307,               0.000307,               0.000307
                     37,                0.89658,                 1.6595,                 1.0092,                 1.0354,                0.40552,                 0.6245,                0.39561,                0.27666,                0.40045,                0.61122,                0.38266,                0.22933,                0.98166,                 2.0223,                 1.6644,                 1.2063,              0.0002872,              0.0002872,              0.0002872
                     38,                0.88653,                 1.6447,                0.99724,                 1.0297,                0.39516,                0.62688,                0.38914,                0.27631,                0.38729,                0.61261,                0.37754,                  0.227,                0.98158,                 2.0623,                 1.5899,                 1.2019,              0.0002674,              0.0002674,              0.0002674
                     39,                0.88195,                  1.613,                0.97497,                 1.0256,                0.40031,                0.62213,                0.39296,                0.27114,                0.39611,                0.61385,                0.38217,                0.22564,                0.99951,                 2.0513,                 1.6482,                 1.2104,              0.0002476,              0.0002476,              0.0002476
