                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2284,                 1.2952,                0.96808,                 1.2491,                0.88365,                0.83509,                0.90486,                0.63587,                0.88998,                0.81743,                0.89093,                0.57735,                 1.0292,                 1.0272,                0.71483,                 1.2574,             0.00045365,             0.00045365,             0.00045365
                     25,                 1.2141,                 1.2846,                0.94333,                 1.2365,                0.89148,                0.84481,                0.90796,                0.63542,                0.88088,                0.83207,                0.89379,                0.57926,                 1.0423,                 1.0129,                0.70855,                 1.2641,             0.00043716,             0.00043716,             0.00043716
                     26,                 1.2117,                 1.2658,                0.93146,                 1.2363,                0.88386,                0.84606,                0.91073,                0.63856,                0.87823,                0.83786,                0.89778,                0.57792,                 1.0406,                 1.0399,                0.70912,                 1.2615,             0.00042066,             0.00042066,             0.00042066
                     27,                 1.2064,                  1.249,                0.91765,                 1.2297,                0.88302,                0.83816,                0.90483,                0.63606,                0.88973,                 0.8183,                 0.8916,                0.57395,                 1.0332,                 1.0318,                0.71573,                 1.2551,             0.00040417,             0.00040417,             0.00040417
                     28,                 1.1987,                 1.2356,                0.91298,                 1.2255,                0.89094,                0.85643,                0.91553,                0.64645,                0.89173,                  0.844,                 0.9013,                0.58382,                 1.0285,                 1.0006,                0.67778,                 1.2543,             0.00038768,             0.00038768,             0.00038768
                     29,                 1.1881,                 1.2305,                0.88803,                 1.2222,                0.89539,                0.85387,                0.91425,                0.64152,                0.88603,                0.84498,                0.90101,                0.58021,                 1.0452,                 1.0311,                0.66869,                 1.2716,             0.00037118,             0.00037118,             0.00037118
                     30,                 1.1823,                 1.2231,                0.88786,                 1.2169,                0.89301,                0.86353,                0.91515,                0.64425,                0.88594,                0.85355,                0.90003,                0.58401,                 1.0362,                 1.0268,                0.68348,                 1.2603,             0.00035469,             0.00035469,             0.00035469
                     31,                 1.1831,                 1.2195,                0.87451,                 1.2133,                0.90629,                0.83916,                 0.9128,                0.63941,                0.89649,                0.83215,                0.90303,                0.57592,                  1.036,                 1.0241,                0.68524,                 1.2578,              0.0003382,              0.0003382,              0.0003382
                     32,                 1.1695,                 1.2098,                0.85904,                 1.2071,                0.89323,                0.85666,                0.91328,                0.64511,                0.88272,                0.84642,                0.89878,                0.58354,                 1.0275,                 1.0454,                0.69396,                 1.2544,              0.0003217,              0.0003217,              0.0003217
                     33,                 1.1602,                 1.2026,                0.84216,                 1.1979,                0.87503,                0.86673,                 0.9105,                0.64655,                0.88655,                0.84038,                0.89527,                0.58733,                 1.0193,                   1.02,                0.67354,                 1.2495,             0.00030521,             0.00030521,             0.00030521
                     34,                 1.1544,                 1.1859,                0.83678,                 1.1977,                0.89504,                0.84689,                0.91353,                0.64397,                0.88578,                0.83309,                0.89884,                0.58511,                 1.0264,                 1.0368,                0.69447,                 1.2474,             0.00028872,             0.00028872,             0.00028872
                     35,                 1.1551,                 1.2038,                0.83584,                 1.1941,                0.91266,                0.85678,                0.91987,                0.64499,                 0.8982,                0.84631,                 0.9025,                0.58287,                 1.0312,                 1.0243,                0.66264,                 1.2517,             0.00027222,             0.00027222,             0.00027222
                     36,                 1.1372,                 1.1735,                  0.817,                 1.1868,                0.89381,                0.86515,                0.91612,                0.64643,                0.89629,                0.84372,                0.89954,                0.58766,                 1.0264,                 1.0278,                 0.6697,                 1.2502,             0.00025573,             0.00025573,             0.00025573
                     37,                 1.1362,                 1.1715,                0.81072,                  1.184,                0.90213,                0.86825,                0.91953,                0.65409,                0.88907,                0.85719,                  0.906,                0.59805,                 1.0132,                 1.0223,                0.65717,                 1.2357,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.1328,                 1.1575,                0.80047,                  1.182,                0.91887,                0.84062,                0.91745,                0.65099,                0.91165,                0.83308,                0.90527,                0.59176,                 1.0271,                 1.0024,                0.65312,                 1.2456,             0.00022274,             0.00022274,             0.00022274
                     39,                 1.1179,                 1.1569,                0.78056,                 1.1718,                0.90245,                0.84896,                0.91604,                0.64782,                0.89373,                0.83955,                0.90292,                0.58944,                  1.015,                 1.0199,                0.66133,                 1.2455,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.1068,                 1.1408,                0.77495,                 1.1686,                0.90206,                0.85041,                 0.9146,                0.64743,                0.89631,                0.84034,                0.90081,                0.58958,                 1.0231,                 1.0107,                0.65624,                 1.2453,             0.00018976,             0.00018976,             0.00018976
