                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.181,                 1.2202,                0.90342,                 1.2917,                0.89247,                0.85422,                0.91386,                0.64796,                0.88498,                0.84224,                0.89852,                0.58867,                 1.0095,                0.97353,                0.68939,                 1.3167,             0.00045365,             0.00045365,             0.00045365
                     25,                 1.1695,                 1.2181,                0.87893,                 1.2857,                0.90394,                0.85578,                0.91631,                 0.6501,                0.89702,                0.84955,                0.90398,                0.58955,                  1.011,                0.98951,                0.65634,                 1.3226,             0.00043716,             0.00043716,             0.00043716
                     26,                 1.1657,                 1.1917,                0.86211,                 1.2777,                0.89003,                 0.8654,                0.91991,                0.64983,                0.88101,                0.85633,                0.90353,                0.59049,                  1.016,                0.98586,                0.66213,                 1.3226,             0.00042066,             0.00042066,             0.00042066
                     27,                  1.149,                 1.1852,                0.84657,                 1.2637,                0.91528,                0.84106,                 0.9143,                0.65289,                0.90095,                0.83127,                0.89495,                0.59399,                 1.0072,                0.97388,                0.67749,                 1.3229,             0.00040417,             0.00040417,             0.00040417
                     28,                 1.1437,                 1.1743,                0.83135,                 1.2661,                0.89807,                0.85615,                0.91475,                0.65635,                0.89144,                0.84652,                0.90323,                0.59653,                0.99371,                0.96035,                0.66322,                 1.3147,             0.00038768,             0.00038768,             0.00038768
                     29,                  1.136,                  1.164,                0.82392,                  1.261,                0.88291,                0.86202,                0.91198,                 0.6535,                0.86781,                0.85371,                 0.8976,                0.59578,                 1.0013,                0.96505,                0.66287,                 1.3213,             0.00037118,             0.00037118,             0.00037118
                     30,                 1.1126,                 1.1242,                0.80248,                 1.2486,                0.90775,                0.85153,                0.91926,                0.65548,                0.90193,                0.84137,                0.90498,                0.59996,                 1.0063,                0.97588,                0.65004,                  1.339,             0.00035469,             0.00035469,             0.00035469
                     31,                 1.1036,                 1.1112,                0.77991,                 1.2408,                0.90766,                0.85362,                0.92255,                0.65379,                 0.9008,                0.84515,                0.90878,                0.59861,                 1.0167,                 0.9642,                0.65433,                 1.3419,              0.0003382,              0.0003382,              0.0003382
                     32,                 1.0934,                 1.1077,                0.76472,                 1.2372,                0.89118,                 0.8777,                0.92066,                0.66186,                0.88317,                0.87438,                0.90922,                0.60108,                 1.0031,                0.96123,                0.63844,                  1.328,              0.0003217,              0.0003217,              0.0003217
                     33,                 1.0744,                 1.0872,                0.75096,                 1.2269,                0.92156,                0.85673,                0.92209,                0.65899,                0.90545,                0.85239,                0.90601,                0.60231,                 1.0045,                0.97244,                0.62464,                 1.3395,             0.00030521,             0.00030521,             0.00030521
                     34,                 1.0705,                 1.0704,                0.73486,                 1.2201,                0.89415,                0.87153,                0.92108,                0.66081,                0.88534,                0.85819,                0.90364,                0.60325,                 1.0118,                0.98389,                0.63606,                 1.3334,             0.00028872,             0.00028872,             0.00028872
                     35,                 1.0564,                 1.0514,                0.72117,                 1.2097,                0.91592,                0.86971,                0.92625,                0.66311,                0.90631,                0.85832,                0.91098,                0.60912,                 1.0054,                0.94768,                0.62458,                 1.3235,             0.00027222,             0.00027222,             0.00027222
                     36,                 1.0417,                  1.038,                0.70359,                  1.198,                0.88765,                 0.8745,                0.92177,                0.66053,                0.87545,                0.86888,                0.90797,                0.60357,                 1.0117,                0.96267,                0.62401,                 1.3232,             0.00025573,             0.00025573,             0.00025573
                     37,                 1.0304,                 1.0174,                  0.698,                 1.1922,                0.89189,                0.87563,                0.92062,                0.66323,                0.88352,                0.86618,                0.90551,                0.60592,                 1.0082,                0.96253,                0.63249,                 1.3235,             0.00023924,             0.00023924,             0.00023924
                     38,                 1.0241,                 1.0275,                 0.6782,                 1.1857,                0.88035,                0.88008,                0.92425,                0.66393,                0.86799,                0.87258,                0.90837,                0.60633,                 1.0085,                 0.9759,                0.61827,                 1.3221,             0.00022274,             0.00022274,             0.00022274
                     39,                 1.0145,                 1.0236,                0.66709,                  1.177,                 0.8989,                0.87265,                0.92694,                0.66614,                0.89447,                0.86838,                0.91827,                0.61207,                 1.0003,                0.98518,                0.60546,                 1.3195,             0.00020625,             0.00020625,             0.00020625
                     40,                 1.0131,                 1.0042,                0.66602,                 1.1829,                0.90705,                0.86388,                0.92423,                0.66327,                0.89716,                0.85447,                0.91081,                0.60741,                 1.0039,                   1.01,                0.61437,                  1.324,             0.00018976,             0.00018976,             0.00018976
                     41,                0.94514,                 0.9229,                0.51818,                 1.1385,                0.91046,                0.87626,                0.92772,                 0.6695,                0.90061,                0.86673,                0.91467,                0.61202,                0.99126,                0.98395,                0.59707,                 1.3087,             0.00017326,             0.00017326,             0.00017326
                     42,                0.93372,                0.90544,                0.50354,                 1.1291,                0.90015,                0.88355,                0.92493,                0.67102,                0.88923,                0.87308,                0.91222,                0.61635,                0.99073,                0.99023,                0.61065,                 1.3198,             0.00015677,             0.00015677,             0.00015677
                     43,                0.91786,                0.88272,                0.48454,                 1.1192,                0.90649,                0.87828,                0.92472,                0.67084,                0.89954,                0.86884,                0.91298,                0.61315,                0.99118,                 0.9834,                0.60675,                 1.3111,             0.00014028,             0.00014028,             0.00014028
                     44,                0.90571,                 0.8732,                0.47348,                 1.1101,                0.92272,                0.87029,                0.92807,                0.66822,                0.91391,                0.86082,                0.91391,                0.60992,                0.99864,                0.99964,                0.60827,                 1.3244,             0.00012378,             0.00012378,             0.00012378
                     45,                0.89222,                0.85473,                0.46646,                 1.1048,                0.91259,                 0.8773,                0.92596,                0.67191,                0.90104,                0.87345,                0.91393,                0.61232,                0.99943,                0.99443,                0.60339,                 1.3293,             0.00010729,             0.00010729,             0.00010729
                     46,                0.88676,                0.85307,                0.45841,                 1.1027,                0.91474,                0.86359,                0.92253,                0.66928,                0.90244,                0.85655,                0.90762,                0.61149,                0.99571,                 1.0092,                0.61611,                 1.3332,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.87243,                0.83298,                0.44716,                 1.0915,                0.90579,                0.88361,                0.92144,                0.66955,                0.89681,                0.87004,                0.90974,                0.61294,                0.99982,                 1.0096,                0.62047,                 1.3342,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.86618,                0.83103,                0.44205,                 1.0842,                0.91609,                0.87099,                0.92116,                0.67088,                0.90708,                0.86171,                0.90753,                0.61077,                0.99725,                 1.0164,                0.62451,                 1.3346,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.85899,                0.81923,                0.43456,                 1.0797,                0.91099,                0.87414,                0.92226,                0.67169,                0.90309,                0.86566,                0.90945,                0.61268,                 0.9941,                 1.0136,                0.61805,                 1.3365,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.84594,                0.81555,                0.42496,                 1.0732,                0.91409,                0.87602,                0.92318,                0.67147,                0.90356,                0.86588,                0.90775,                0.61427,                0.99709,                 1.0168,                0.61851,                 1.3442,             2.4823e-05,             2.4823e-05,             2.4823e-05
