                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4795,                 1.5721,                 1.5663,                 1.6608,                0.81346,                0.74519,                0.82225,                0.53461,                0.79842,                0.73231,                 0.7971,                0.47877,                 1.1929,                 1.2114,                 1.0936,                 1.6431,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.4718,                 1.5496,                  1.531,                 1.6545,                0.81762,                0.72032,                0.82039,                0.53908,                0.80848,                0.70823,                0.79924,                0.48081,                 1.1806,                 1.1956,                 1.0918,                 1.6385,               0.008812,               0.008812,               0.008812
                     26,                 1.4587,                 1.5514,                 1.5105,                 1.6395,                0.79342,                 0.7483,                0.82625,                0.54113,                0.78283,                0.73314,                0.79983,                0.47773,                 1.1662,                 1.2002,                  1.078,                 1.6151,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.4506,                 1.5421,                 1.4898,                 1.6353,                0.81879,                0.74329,                0.82999,                0.54116,                0.81114,                0.72768,                0.80731,                0.48216,                 1.1793,                 1.1899,                 1.0713,                 1.6294,               0.008713,               0.008713,               0.008713
                     28,                 1.4469,                 1.5303,                 1.4825,                 1.6264,                0.82117,                0.76395,                0.83777,                0.54865,                0.80938,                0.74811,                0.81575,                0.48912,                 1.1713,                 1.1697,                 1.0415,                 1.6142,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.4388,                 1.5215,                 1.4679,                 1.6237,                 0.8261,                0.77108,                0.84448,                0.55826,                0.81286,                0.75912,                0.82178,                0.49742,                 1.1523,                   1.16,                 1.0283,                 1.5962,               0.008614,               0.008614,               0.008614
                     30,                 1.4324,                 1.5121,                 1.4444,                  1.612,                0.82572,                 0.7777,                0.84516,                0.56391,                0.80958,                0.76012,                0.81585,                0.50082,                   1.15,                 1.1655,                   1.01,                 1.5868,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.4266,                 1.5067,                  1.441,                  1.605,                0.83385,                0.77598,                 0.8495,                0.56561,                 0.8203,                0.76274,                0.82775,                0.50166,                 1.1436,                 1.1799,                 1.0088,                 1.5856,               0.008515,               0.008515,               0.008515
                     32,                 1.4243,                 1.4986,                 1.4257,                 1.6009,                0.85739,                0.76602,                 0.8536,                0.56488,                0.83625,                0.75805,                0.82757,                0.50386,                 1.1388,                 1.1544,                0.98319,                 1.5746,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.4133,                 1.5067,                 1.4108,                   1.59,                0.84323,                0.77158,                0.85058,                0.57097,                0.84029,                 0.7584,                0.83124,                0.50962,                 1.1426,                 1.1659,                0.98273,                 1.5739,               0.008416,               0.008416,               0.008416
                     34,                 1.4092,                 1.5099,                 1.3816,                 1.5833,                0.84184,                 0.7917,                0.86151,                 0.5801,                0.83134,                0.77744,                0.84146,                0.51689,                 1.1197,                 1.1595,                0.95219,                 1.5522,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4065,                 1.4871,                 1.3813,                 1.5838,                0.84645,                0.78282,                0.86358,                0.58236,                0.83383,                0.77271,                0.84669,                0.52118,                 1.1234,                 1.1469,                 0.9546,                 1.5446,               0.008317,               0.008317,               0.008317
